x	 prey 	 predator
15.6282	0.252608	8.21435
15.6659	0.232856	8.09876
15.7055	0.214166	7.97846
15.7471	0.196576	7.85362
15.7905	0.180119	7.72457
15.8358	0.164823	7.59177
15.8828	0.150701	7.45586
15.9314	0.137751	7.31755
15.9813	0.12595	7.17766
16.0323	0.115259	7.037
16.0842	0.105618	6.89634
16.1368	0.0969567	6.75637
16.1899	0.0891958	6.61766
16.2434	0.0822523	6.48066
16.297	0.0760443	6.34572
16.3508	0.070493	6.21307
16.4047	0.0655255	6.08286
16.4586	0.0610752	5.95519
16.5124	0.0570826	5.83009
16.5663	0.0534947	5.70756
16.6201	0.050265	5.58758
16.6739	0.0473525	5.4701
16.7276	0.0447216	5.35508
16.7814	0.0423412	5.24246
16.8351	0.0401839	5.13217
16.8888	0.038226	5.02416
16.9425	0.0364468	4.91837
16.9962	0.0348281	4.81473
17.05	0.033354	4.71319
17.1038	0.0320103	4.61369
17.1576	0.0307849	4.51619
17.2115	0.0296668	4.42062
17.2654	0.0286464	4.32694
17.3194	0.0277152	4.23511
17.3735	0.0268658	4.14507
17.4277	0.0260914	4.0568
17.482	0.0253861	3.97023
17.5363	0.0247447	3.88535
17.5908	0.0241624	3.80211
17.6454	0.0236351	3.72046
17.7001	0.0231592	3.64039
17.755	0.0227312	3.56185
17.81	0.0223483	3.48481
17.8651	0.0220078	3.40925
17.9203	0.0217075	3.33512
17.9758	0.0214454	3.26241
18.0313	0.0212196	3.19107
18.0871	0.0210286	3.12109
18.143	0.0208711	3.05244
18.199	0.0207459	2.98509
18.2553	0.020652	2.91901
18.3117	0.0205886	2.85419
18.3684	0.0205551	2.79059
18.4252	0.0205508	2.72819
18.4822	0.0205756	2.66697
18.5395	0.0206291	2.60691
18.5969	0.0207112	2.54799
18.6546	0.0208219	2.49017
18.7125	0.0209615	2.43345
18.7707	0.0211302	2.3778
18.8291	0.0213283	2.32321
18.8877	0.0215565	2.26964
18.9466	0.0218154	2.21709
19.0057	0.0221058	2.16554
19.0652	0.0224285	2.11496
19.1249	0.0227848	2.06534
19.1848	0.0231757	2.01665
19.2451	0.0236027	1.9689
19.3057	0.0240673	1.92205
19.3666	0.0245712	1.87609
19.4278	0.0251164	1.83101
19.4893	0.0257048	1.78678
19.5511	0.0263388	1.7434
19.6133	0.027021	1.70085
19.6759	0.027754	1.65911
19.7388	0.028541	1.61817
19.8021	0.0293852	1.57802
19.8657	0.0302904	1.53865
19.9298	0.0312604	1.50003
19.9942	0.0322995	1.46216
20.0591	0.0334127	1.42502
20.1243	0.0346049	1.38861
20.19	0.0358819	1.35291
20.2562	0.0372498	1.31791
20.3228	0.0387153	1.2836
20.3898	0.0402858	1.24997
20.4573	0.0419693	1.21701
20.5253	0.0437746	1.18471
20.5938	0.0457111	1.15306
20.6627	0.0477892	1.12205
20.7322	0.0500203	1.09168
20.8021	0.0524166	1.06195
20.8726	0.0549915	1.03283
20.9435	0.0577593	1.00434
21.015	0.0607357	0.976473
21.0868	0.0639373	0.949219
21.1592	0.0673821	0.922582
21.232	0.071089	0.896564
21.3052	0.075078	0.87117
21.3787	0.0793699	0.846404
21.4525	0.0839862	0.822276
21.5266	0.0889483	0.798795
21.6007	0.0942776	0.775976
21.6749	0.0999944	0.753833
21.749	0.106118	0.732383
21.8228	0.112663	0.711646
21.8963	0.119645	0.69164
21.9691	0.127071	0.672384
22.0412	0.134947	0.653893
22.1123	0.143271	0.636181
22.1823	0.152037	0.619257
22.251	0.161234	0.603123
22.3183	0.170847	0.587775
22.3839	0.180858	0.573203
22.4479	0.191245	0.559389
22.5101	0.201986	0.54631
22.5705	0.213058	0.533939
22.6291	0.224439	0.522242
22.6858	0.23611	0.511185
22.7408	0.248051	0.500731
22.7941	0.260246	0.490843
22.8456	0.272681	0.481484
22.8956	0.285344	0.472619
22.944	0.298226	0.464212
22.9909	0.311318	0.456233
23.0364	0.324616	0.448649
23.0806	0.338115	0.441432
23.1236	0.351812	0.434556
23.1653	0.365705	0.427997
23.206	0.379793	0.421733
23.2456	0.394076	0.415742
23.2842	0.408555	0.410006
23.3219	0.423231	0.404508
23.3587	0.438106	0.399232
23.3946	0.453181	0.394163
23.4298	0.468461	0.389289
23.4642	0.483946	0.384597
23.4979	0.499639	0.380076
23.5309	0.515545	0.375716
23.5633	0.531666	0.371508
23.5951	0.548005	0.367444
23.6263	0.564567	0.363515
23.657	0.581353	0.359713
23.6872	0.598369	0.356033
23.7168	0.615618	0.352468
23.746	0.633102	0.349013
23.7747	0.650828	0.345661
23.803	0.668797	0.342409
23.8309	0.687014	0.339251
23.8584	0.705483	0.336183
23.8855	0.724209	0.333201
23.9123	0.743194	0.330302
23.9387	0.762443	0.327482
23.9648	0.78196	0.324737
23.9905	0.801749	0.322066
24.016	0.821814	0.319464
24.0411	0.84216	0.316929
24.066	0.862791	0.314459
24.0906	0.883711	0.312051
24.1149	0.904924	0.309704
24.1389	0.926435	0.307414
24.1627	0.948249	0.30518
24.1863	0.970369	0.303001
24.2096	0.9928	0.300873
24.2328	1.01555	0.298797
24.2557	1.03861	0.29677
24.2784	1.06201	0.29479
24.3008	1.08573	0.292857
24.3231	1.10979	0.290968
24.3452	1.13418	0.289123
24.3671	1.15892	0.287321
24.3889	1.18401	0.285559
24.4104	1.20946	0.283839
24.4318	1.23526	0.282157
24.4531	1.26143	0.280513
24.4741	1.28797	0.278907
24.4951	1.31488	0.277337
24.5158	1.34218	0.275802
24.5365	1.36986	0.274303
