x	 y 	 value
6.81463	-1.81955	-2.51723
6.82447	-1.84387	-2.42464
6.83435	-1.86735	-2.33066
6.84425	-1.88997	-2.23533
6.85419	-1.91171	-2.13868
6.86417	-1.93256	-2.04073
6.87417	-1.95249	-1.94153
6.88422	-1.97148	-1.8411
6.89429	-1.98953	-1.73949
6.90441	-2.0066	-1.63673
6.91456	-2.02268	-1.53288
6.92474	-2.03776	-1.42798
6.93496	-2.05182	-1.32208
6.94521	-2.06483	-1.21524
6.9555	-2.07677	-1.10753
6.96582	-2.08764	-0.999001
6.97617	-2.09742	-0.889738
6.98654	-2.10608	-0.779817
6.99694	-2.11362	-0.669324
7.00737	-2.12002	-0.558349
7.01781	-2.12527	-0.446989
7.02827	-2.12936	-0.335346
7.03873	-2.13228	-0.223525
7.0492	-2.13404	-0.111637
7.05968	-2.13462	0.000209071
7.07015	-2.13403	0.1119
7.08061	-2.13228	0.223323
7.09106	-2.12936	0.334371
7.10149	-2.1253	0.444937
7.1119	-2.12009	0.554919
7.12229	-2.11376	0.664221
7.13264	-2.10632	0.772754
7.14297	-2.09778	0.880433
7.15326	-2.08817	0.987184
7.16351	-2.0775	1.09293
7.17373	-2.0658	1.19762
7.18391	-2.05308	1.3012
7.19405	-2.03936	1.4036
7.20416	-2.02467	1.50479
7.21422	-2.00902	1.60472
7.22425	-1.99243	1.70336
7.23423	-1.97493	1.80068
7.24418	-1.95654	1.89665
7.2541	-1.93726	1.99123
7.26397	-1.91713	2.08441
7.27382	-1.89616	2.17617
7.28363	-1.87437	2.26647
7.29341	-1.85177	2.35531
7.30315	-1.82838	2.44266
7.31287	-1.80422	2.5285
7.32256	-1.77931	2.61282
7.33222	-1.75367	2.6956
7.34186	-1.7273	2.77683
7.35147	-1.70023	2.85648
7.36105	-1.67246	2.93454
7.37062	-1.64403	3.011
7.38016	-1.61494	3.08585
7.38968	-1.5852	3.15906
7.39918	-1.55484	3.23062
7.40867	-1.52387	3.30052
7.41813	-1.49231	3.36875
7.42758	-1.46016	3.43528
7.43701	-1.42745	3.50011
7.44643	-1.39419	3.56321
7.45583	-1.36039	3.62459
7.46522	-1.32608	3.68422
7.4746	-1.29126	3.7421
7.48396	-1.25595	3.7982
7.49331	-1.22017	3.85252
7.50265	-1.18394	3.90504
7.51198	-1.14726	3.95576
7.5213	-1.11016	4.00466
7.53062	-1.07264	4.05173
7.53992	-1.03473	4.09696
7.54922	-0.996443	4.14033
7.5585	-0.957791	4.18185
7.56778	-0.91879	4.2215
7.57706	-0.879458	4.25926
7.58633	-0.83981	4.29514
7.59559	-0.799861	4.32912
7.60485	-0.759628	4.3612
7.6141	-0.719126	4.39136
7.62335	-0.678373	4.4196
7.6326	-0.637383	4.44592
7.64184	-0.596172	4.47031
7.65108	-0.554758	4.49276
7.66032	-0.513157	4.51326
7.66956	-0.471383	4.53182
7.67879	-0.429455	4.54842
7.68802	-0.387388	4.56307
7.69725	-0.345198	4.57576
7.70649	-0.302901	4.58649
7.71572	-0.260515	4.59526
7.72495	-0.218056	4.60206
7.73418	-0.175539	4.60689
7.74342	-0.132982	4.60976
7.75265	-0.0904002	4.61066
7.76189	-0.0478109	4.60959
7.77113	-0.00523021	4.60656
7.78037	0.0373254	4.60156
7.78962	0.0798394	4.5946
7.79886	0.122295	4.58568
7.80812	0.164677	4.5748
7.81737	0.206968	4.56197
7.82663	0.249151	4.54719
7.8359	0.291211	4.53047
7.84517	0.333131	4.5118
7.85445	0.374895	4.4912
7.86373	0.416486	4.46868
7.87302	0.457888	4.44423
7.88232	0.499084	4.41787
7.89162	0.540059	4.3896
7.90093	0.580797	4.35943
7.91025	0.62128	4.32737
7.91958	0.661494	4.29343
7.92892	0.701421	4.25762
7.93826	0.741046	4.21994
7.94762	0.780353	4.18042
7.95699	0.819325	4.13905
7.96637	0.857947	4.09585
7.97576	0.896203	4.05084
7.98516	0.934078	4.00402
7.99458	0.971554	3.95541
8.00401	1.00862	3.90502
8.01345	1.04525	3.85287
8.02291	1.08144	3.79896
8.03238	1.11716	3.74331
8.04187	1.15242	3.68594
8.05137	1.18717	3.62687
8.0609	1.22142	3.56609
8.07044	1.25515	3.50365
8.08	1.28834	3.43954
8.08957	1.32097	3.37379
8.09917	1.35304	3.3064
8.10879	1.38452	3.23741
